2026-03-03 20:22:57,085 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003015\x000\x00ARE\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:22:58,309 | INFO     | Screener.Pipeline |   [16/500] AFW F
2026-03-03 20:22:58,309 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3016, 'contract': 4408463712: 0,AFW F,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:22:58,309 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00C20\x003016\x000\x00AFW F\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:23:18,315 | INFO     | Screener.Pipeline |   [17/500] 60A F
2026-03-03 20:23:18,315 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3017, 'contract': 4408463136: 0,60A F,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:23:18,315 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00C20\x003017\x000\x0060A F\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:23:38,321 | INFO     | Screener.Pipeline |   [18/500] LNT
2026-03-03 20:23:38,321 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3018, 'contract': 4408463712: 0,LNT,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:23:38,321 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003018\x000\x00LNT\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:23:39,498 | INFO     | Screener.Pipeline |   [19/500] ALL
2026-03-03 20:23:39,498 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3019, 'contract': 4408463136: 0,ALL,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:23:39,498 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003019\x000\x00ALL\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:23:40,782 | INFO     | Screener.Pipeline |   [20/500] ABEC F
2026-03-03 20:23:40,784 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3020, 'contract': 4384160368: 0,ABEC F,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:23:40,785 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00D20\x003020\x000\x00ABEC F\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:00,791 | INFO     | Screener.Pipeline |   [21/500] MO
2026-03-03 20:24:00,793 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3021, 'contract': 4382177232: 0,MO,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:00,793 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00@20\x003021\x000\x00MO\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:02,024 | INFO     | Screener.Pipeline |   [22/500] AMZ F
2026-03-03 20:24:02,025 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3022, 'contract': 4408464144: 0,AMZ F,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:02,025 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00C20\x003022\x000\x00AMZ F\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:22,030 | INFO     | Screener.Pipeline |   [23/500] AMCR
2026-03-03 20:24:22,032 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3023, 'contract': 4384160368: 0,AMCR,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:22,032 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00B20\x003023\x000\x00AMCR\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:23,393 | INFO     | Screener.Pipeline |   [24/500] AEE
2026-03-03 20:24:23,394 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3024, 'contract': 4408463424: 0,AEE,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:23,394 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003024\x000\x00AEE\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:24,746 | INFO     | Screener.Pipeline |   [25/500] AEP
2026-03-03 20:24:24,746 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3025, 'contract': 4408463904: 0,AEP,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:24,746 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003025\x000\x00AEP\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:25,953 | INFO     | Screener.Pipeline |   [26/500] AXP
2026-03-03 20:24:25,955 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3026, 'contract': 4408464192: 0,AXP,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:25,955 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003026\x000\x00AXP\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:27,181 | INFO     | Screener.Pipeline |   [27/500] AIG
2026-03-03 20:24:27,181 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3027, 'contract': 4382177184: 0,AIG,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:27,182 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003027\x000\x00AIG\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:28,359 | INFO     | Screener.Pipeline |   [28/500] AMT
2026-03-03 20:24:28,359 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3028, 'contract': 4382504000: 0,AMT,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:28,359 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003028\x000\x00AMT\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:29,657 | INFO     | Screener.Pipeline |   [29/500] AWK
2026-03-03 20:24:29,658 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3029, 'contract': 4408464672: 0,AWK,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:29,658 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003029\x000\x00AWK\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:30,793 | INFO     | Screener.Pipeline |   [30/500] AMP
2026-03-03 20:24:30,795 | INFO     | ibapi.utils | REQUEST reqHistoricalData {'reqId': 3030, 'contract': 4388438432: 0,AMP,STK,,,0,,,SMART,,USD,,,False,,,,combo:, 'endDateTime': '', 'durationStr': '2 Y', 'barSizeSetting': '1 day', 'whatToShow': 'TRADES', 'useRTH': 1, 'formatDate': 1, 'keepUpToDate': False, 'chartOptions': []}
2026-03-03 20:24:30,795 | INFO     | ibapi.client | SENDING reqHistoricalData b'\x00\x00\x00A20\x003030\x000\x00AMP\x00STK\x00\x000.0\x00\x00\x00SMART\x00\x00USD\x00\x00\x000\x00\x001 day\x002 Y\x001\x00TRADES\x001\x000\x00\x00'
2026-03-03 20:24:32,026 | INFO     | Screener.Pipeline |   [31/500] AME
