,conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass,openPrice,closePrice,lowPrice,highPrice,lastPrice,tradingVolume
135,759513602,ES,FOP,20250214,6135.0,P,CME,USD,EW2,6131.75,14.75,13.25,15.0,12.5,-1.0
136,759513602,ES,FOP,20250214,6135.0,P,CME,USD,EW2,6131.75,14.75,13.25,15.0,14.25,-1.0
137,759513602,ES,FOP,20250214,6135.0,P,CME,USD,EW2,6131.75,14.75,13.25,15.0,14.25,-1.0
138,759513602,ES,FOP,20250214,6135.0,P,CME,USD,EW2,6131.75,14.75,13.25,15.0,14.25,-1.0
139,759513728,ES,FOP,20250214,6135.0,C,CME,USD,EW2,6131.75,14.75,13.25,15.0,13.0,-1.0
140,759513728,ES,FOP,20250214,6135.0,C,CME,USD,EW2,6131.75,14.75,13.25,15.0,13.0,-1.0
141,759513728,ES,FOP,20250214,6135.0,C,CME,USD,EW2,6131.75,14.75,13.0,15.0,13.0,-1.0
142,759513728,ES,FOP,20250214,6135.0,C,CME,USD,EW2,6131.75,15.0,13.0,15.0,13.0,-1.0
143,759513728,ES,FOP,20250214,6135.0,C,CME,USD,EW2,6131.75,15.0,13.0,15.0,13.0,-1.0
144,759513728,ES,FOP,20250214,6135.0,C,CME,USD,EW2,6131.75,15.0,13.0,15.0,13.0,-1.0
145,757532840,ES,FOP,20250214,6140.0,P,CME,USD,EW2,6131.75,17.0,13.0,15.0,13.0,-1.0
146,757532840,ES,FOP,20250214,6140.0,P,CME,USD,EW2,6131.75,17.0,13.0,15.0,13.0,-1.0
147,757532840,ES,FOP,20250214,6140.0,P,CME,USD,EW2,6131.75,17.0,13.0,15.0,13.0,-1.0
148,757532951,ES,FOP,20250214,6140.0,C,CME,USD,EW2,6131.75,17.0,13.0,15.0,11.0,-1.0
149,757532951,ES,FOP,20250214,6140.0,C,CME,USD,EW2,6131.75,17.0,13.0,12.25,11.0,-1.0
150,757532951,ES,FOP,20250214,6140.0,C,CME,USD,EW2,6131.75,17.0,10.25,12.25,11.0,-1.0
151,757532951,ES,FOP,20250214,6140.0,C,CME,USD,EW2,6131.75,12.25,10.25,12.25,11.0,-1.0
152,757532951,ES,FOP,20250214,6140.0,C,CME,USD,EW2,6131.75,12.25,10.25,12.25,11.0,-1.0
153,757532951,ES,FOP,20250214,6140.0,C,CME,USD,EW2,6131.75,12.25,10.25,12.25,11.0,-1.0
154,759513892,ES,FOP,20250214,6145.0,P,CME,USD,EW2,6131.75,19.75,10.25,12.25,11.0,-1.0
155,759513892,ES,FOP,20250214,6145.0,P,CME,USD,EW2,6131.75,19.75,10.25,12.25,11.0,-1.0
156,759513892,ES,FOP,20250214,6145.0,P,CME,USD,EW2,6131.75,19.75,10.25,12.25,11.0,-1.0
157,759513972,ES,FOP,20250214,6145.0,C,CME,USD,EW2,6131.75,19.75,10.25,9.4,11.0,-1.0
158,759513972,ES,FOP,20250214,6145.0,C,CME,USD,EW2,6131.75,19.75,8.0,9.4,11.0,-1.0
159,759513972,ES,FOP,20250214,6145.0,C,CME,USD,EW2,6131.75,9.95,8.0,9.4,11.0,-1.0
160,759513972,ES,FOP,20250214,6145.0,C,CME,USD,EW2,6131.75,9.95,8.0,9.4,8.0,-1.0
161,759513972,ES,FOP,20250214,6145.0,C,CME,USD,EW2,6131.75,9.95,8.0,9.4,8.0,-1.0
162,759513972,ES,FOP,20250214,6145.0,C,CME,USD,EW2,6131.75,9.95,8.0,9.4,8.0,-1.0
