,open,high,low,close,volume
20231123 03:56:00 Australia/Sydney,455.25,455.31,455.23,455.26,458.72
20231123 03:57:00 Australia/Sydney,455.25,455.33,455.18,455.3,365.47
20231123 03:58:00 Australia/Sydney,455.3,455.48,455.29,455.45,1563.73
20231123 03:59:00 Australia/Sydney,455.44,455.57,455.44,455.51,1746.4
20231123 04:00:00 Australia/Sydney,455.51,455.58,455.46,455.54,1136.88
20231123 04:01:00 Australia/Sydney,455.55,455.6,455.49,455.6,609.72
20231123 04:02:00 Australia/Sydney,455.6,455.71,455.58,455.65,1557.82
20231123 04:03:00 Australia/Sydney,455.66,455.7,455.54,455.56,606.03
20231123 04:04:00 Australia/Sydney,455.57,455.71,455.57,455.7,504.69
20231123 04:05:00 Australia/Sydney,455.7,455.77,455.67,455.72,979.82
20231123 04:06:00 Australia/Sydney,455.71,455.79,455.71,455.76,478.7
20231123 04:07:00 Australia/Sydney,455.76,455.81,455.74,455.76,693.32
20231123 04:08:00 Australia/Sydney,455.75,455.83,455.71,455.77,1230.64
20231123 04:09:00 Australia/Sydney,455.78,455.83,455.77,455.82,404.08
20231123 04:10:00 Australia/Sydney,455.82,455.9,455.79,455.82,1195.39
20231123 04:11:00 Australia/Sydney,455.83,455.85,455.78,455.82,686.19
20231123 04:12:00 Australia/Sydney,455.83,455.84,455.63,455.73,1310.85
20231123 04:13:00 Australia/Sydney,455.73,455.75,455.62,455.62,848.66
20231123 04:14:00 Australia/Sydney,455.63,455.64,455.21,455.22,2026.64
20231123 04:15:00 Australia/Sydney,455.23,455.42,455.15,455.35,1090.32
20231123 04:16:00 Australia/Sydney,455.36,455.39,455.2,455.33,682.93
20231123 04:17:00 Australia/Sydney,455.32,455.36,455.23,455.35,406.18
20231123 04:18:00 Australia/Sydney,455.37,455.44,455.35,455.37,389.76
20231123 04:19:00 Australia/Sydney,455.37,455.51,455.32,455.48,360.18
20231123 04:20:00 Australia/Sydney,455.48,455.54,455.45,455.46,320.76
20231123 04:21:00 Australia/Sydney,455.47,455.56,455.44,455.48,279.56
20231123 04:22:00 Australia/Sydney,455.49,455.61,455.46,455.59,517.36
20231123 04:23:00 Australia/Sydney,455.58,455.63,455.53,455.54,697.07
20231123 04:24:00 Australia/Sydney,455.53,455.61,455.5,455.54,1434.1
20231123 04:25:00 Australia/Sydney,455.55,455.58,455.41,455.58,623.03
20231123 04:26:00 Australia/Sydney,455.59,455.61,455.54,455.54,318.15
20231123 04:27:00 Australia/Sydney,455.53,455.6,455.41,455.6,553.45
20231123 04:28:00 Australia/Sydney,455.59,455.59,455.39,455.5,2105.13
