Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,SwingBuy_Signal,SwingSell_Signal,EMA_12,EMA_26,MACD,Signal_Line,Buy_Signal_MACD,Sell_Signal_MACD,Combined_Buy_Signal,Combined_Sell_Signal,RSI,RSI_Signal
2024-06-25,39112.16015625,39423.26171875,38997.23046875,39398.7890625,339010000,38792.6181640625,38948.79010262304,38787.7596875,38867.885180369485,37128.6675,37488.670089484294,True,False,38985.059678290294,38936.07689728746,48.98278100283642,-8.431572680942871,True,False,False,False,61.57852338089317,False
2024-06-26,39127.80078125,39183.73828125,38908.98828125,39063.1484375,333100000,38806.365234375,38965.83873868275,38815.613515625,38878.07794903147,37151.4235546875,37504.979847611314,False,True,39007.0198479764,38950.27866646987,56.74118150652794,4.602978156551291,True,False,False,False,59.70717901268165,False
2024-06-27,39164.05859375,39250.69140625,39026.75,39107.1015625,338010000,38842.4912109375,38984.71682011773,38842.9153125,38889.292876275336,37173.92525390625,37521.48809384155,False,True,39031.17965501849,38966.11421663877,65.06543837971549,16.69547020118413,True,False,False,False,58.64014749427342,False
2024-06-28,39118.859375,39443.6015625,38937.1484375,39092.390625,679630000,38892.86015625,38997.49230153508,38870.226328125,38898.29548406846,37196.289609375,37537.38233544512,True,False,39044.66884270795,38977.42867281368,67.24016989427037,26.804410139801377,True,False,False,False,60.21215726475261,False
2024-07-01,39169.51953125,39438.359375,39037.94140625,39186.19921875,346210000,38917.0201171875,39013.87584722222,38898.109140625,38908.93172121284,37219.25955078125,37553.62250654766,True,False,39063.87664094519,38991.65762529044,72.21901565475127,35.88733124279136,True,False,False,False,59.73938786687227,False
2024-07-02,39331.8515625,39340.48828125,39085.69140625,39108.25,317380000,38955.0611328125,39044.15924867724,38925.018203125,38925.51681302802,37241.38326171875,37571.31632799992,True,False,39105.10355195362,39016.857176194855,88.24637575876841,46.35914014598677,True,False,False,False,68.38461538461539,False
2024-07-03,39308.0,39411.171875,39230.859375,39358.94921875,202070000,38984.8966796875,39069.28693927941,38946.37859375,38940.51615369359,37264.8320703125,37588.59676254719,True,False,39136.318390114604,39038.42331129153,97.89507882307225,56.66632788140387,True,False,False,False,68.87685894770193,False
2024-07-05,39375.87109375,39399.62109375,39168.69921875,39313.3984375,325230000,39013.323828125,39098.485430181376,38963.8221875,38957.58889644091,37288.589921875,37606.38058673826,True,False,39173.17265221236,39063.41944332549,109.75320888686838,67.28370408249677,True,False,True,False,73.0498469232689,True
2024-07-08,39344.7890625,39654.9609375,39278.4296875,39391.98046875,358320000,39036.2546875,39121.942918973626,38981.49953125,38972.77321667852,37312.72521484375,37623.678183512005,True,False,39199.57517687199,39084.261637338415,115.31353953357757,76.88967117271294,True,False,True,False,74.31244548454966,True
2024-07-09,39291.96875,39492.28125,39146.6015625,39357.37109375,361410000,39060.9037109375,39138.135855261855,39005.622890625,38985.290688573485,37336.9806640625,37640.27808964622,True,False,39213.789572737835,39099.64734938742,114.14222335041268,84.34018160825289,True,False,False,False,68.12103279555673,False
2024-07-10,39721.359375,39736.19921875,39256.71875,39272.44921875,334180000,39103.5697265625,39193.68095237977,39035.256875,39014.15612725687,37365.2353515625,37660.985366117406,True,False,39291.87723462432,39145.700092025385,146.17714259893546,96.7075738063894,True,False,True,False,74.75554682898095,True
2024-07-11,39753.75,39875.6015625,39623.12109375,39695.1796875,361530000,39153.8861328125,39247.02086167694,39062.610078125,39043.15980854092,37394.18490234375,37681.808894812755,True,False,39362.93458314366,39190.740825949426,172.1937571942326,111.80481048395805,True,False,True,False,70.3214008161339,True
2024-07-12,40000.8984375,40257.23828125,39783.28125,39783.28125,325780000,39218.3205078125,39318.81872604104,39106.309609375,39080.71818614716,37424.155,37704.88441265044,True,False,39461.08286842925,39250.7525008791,210.330367550152,131.50992189719685,True,False,True,False,74.23859902220084,True
2024-07-15,40211.71875,40351.1015625,40136.1015625,40138.3984375,308880000,39296.5513671875,39403.85682356094,39152.478203125,39125.07114943551,37457.11919921875,37729.8280378977,True,False,39576.56531174782,39321.935185999166,254.6301257486557,156.13396266748862,True,False,True,False,73.4819734345351,True
2024-07-16,40954.48046875,40988.80859375,40263.78125,40263.78125,306390000,39414.8173828125,39551.5352659599,39207.054609375,39196.81269136942,37494.14025390625,37761.91413173702,True,False,39788.552258978925,39442.86446620293,345.6877927759924,194.04472868918938,True,False,True,False,92.8800282209526,True
2024-07-17,41198.078125,41221.98046875,40849.7109375,40862.5703125,433450000,39535.8162109375,39708.34887158277,39257.502578125,39275.2936887667,37531.7989453125,37796.10481823716,True,False,40005.402392212935,39572.88029278049,432.5220994324409,241.74020283783972,True,False,True,False,93.56307629585913,True
2024-07-18,40665.01953125,41376.0,40597.5,41156.55859375,393450000,39627.32421875,39799.46036297965,39293.757578125,39329.792741413105,37567.58654296875,37824.65123329202,True,False,40106.88195206479,39653.779495630086,453.1024564347026,284.01265355721233,True,False,True,False,76.12198225930136,True
2024-07-19,40287.53125,40626.16015625,40203.26953125,40592.3515625,348530000,39684.9626953125,39845.94330460063,39321.82296875,39367.351114298865,37601.85744140625,37849.157502114984,True,False,40134.67415174713,39700.724070027856,433.95008171927475,314.00013918962486,True,False,False,False,68.23045518249955,False
2024-07-22,40415.44140625,40472.53125,40222.76953125,40414.48828125,351670000,39748.218359375,39900.18121904342,39349.003984375,39408.45269437538,37638.92275390625,37874.69266534021,True,False,40177.86911397834,39753.6660949332,424.20301904514054,336.040715160728,True,False,False,False,68.97811087601717,False
2024-07-23,40358.08984375,40527.890625,40319.69921875,40443.73046875,287390000,39795.5623046875,39943.791564253566,39368.410546875,39445.693366899875,37675.06544921875,37899.403085025886,True,False,40205.59538009705,39798.43822447518,407.1571556218696,350.26400325295634,True,False,False,False,66.14829903706554,False
2024-07-24,39853.87109375,40258.44140625,39807.44921875,40210.62890625,394210000,39832.6478515625,39935.2277099199,39375.231171875,39461.700336580274,37708.736953125,37918.850527898765,True,False,40151.48395142827,39802.54436293998,348.9395884882906,349.9991203000232,False,True,False,False,57.46151587153268,False
2024-07-25,39935.0703125,40438.8203125,39817.5,39828.62890625,375790000,39873.011328125,39935.21271968943,39385.30234375,39480.26386504772,37741.3744140625,37938.91241630276,True,False,40118.1895454393,39812.36109994443,305.82844549487345,341.16498533899323,False,True,False,False,57.615948297417525,False
2024-07-26,40589.33984375,40753.828125,40140.859375,40140.859375,332070000,39944.275390625,39997.510541028525,39405.926953125,39523.7570406831,37776.29787109375,37965.28482851617,True,False,40190.67420671787,39869.91508096706,320.7591257508102,337.08381342135664,False,True,False,False,64.49030492835462,False
2024-07-29,40539.9296875,40682.48828125,40388.828125,40665.7109375,272200000,40015.32890625,40049.16950735914,39418.565546875,39563.60694840141,37810.301015625,37990.90318532198,True,False,40244.40581914589,39919.545792562094,324.86002658379584,334.6390560538445,False,True,False,False,64.54155666818389,False
2024-07-30,40743.328125,40866.25,40529.1015625,40622.12890625,350910000,40094.0193359375,40115.27985189637,39436.04453125,39609.8705239543,37844.99330078125,38018.290498154594,True,False,40321.1630969696,39980.56670607601,340.59639089358825,335.8305230217933,True,False,False,False,62.570268852232175,False
2024-07-31,40842.7890625,41198.62890625,40655.890625,40768.87890625,420090000,40169.5662109375,40184.56644338243,39452.828515625,39658.220270563936,37881.05154296875,38046.39496148142,True,False,40401.41324551273,40044.43502877408,356.9782167386511,340.0600617651649,True,False,False,False,63.17781164210033,False
2024-08-01,40347.96875,41096.66015625,40098.5703125,40916.9609375,472030000,40221.5646484375,40200.1285678222,39463.6525,39685.269230541824,37914.43994140625,38069.29619320797,True,False,40393.19101543385,40066.919008124154,326.27200730969344,337.30245087407064,False,True,False,False,53.96220188722998,False
2024-08-02,39737.26171875,40075.328125,39358.6796875,40075.328125,827820000,40239.6341796875,40156.0460107677,39460.93796875,39687.30815164803,37943.2035546875,38085.89286510391,True,False,40292.278815944024,40042.499949651996,249.7788662920284,319.7977339576622,False,True,False,False,45.0366993546046,False
2024-08-05,38703.26953125,39056.19140625,38499.26953125,39056.19140625,661280000,40207.558203125,40017.68634605173,39441.582578125,39648.718401828504,37966.73166015625,38092.03591650835,True,False,40047.815849068014,39943.29769643703,104.51815263098251,276.74181769232626,False,True,False,False,27.80257382451589,True
2024-08-06,38997.66015625,39449.53125,38638.30078125,38736.21875,462650000,40192.8427734375,39920.54099464204,39440.230546875,39623.186705923465,37993.3945703125,38101.04710297345,True,False,39886.25343478832,39873.25047123799,13.002963550330605,223.99404686392714,False,True,False,False,28.5185741666279,True
