Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,SwingBuy_Signal,SwingSell_Signal,EMA_12,EMA_26,MACD,Signal_Line,Buy_Signal_MACD,Sell_Signal_MACD,Combined_Buy_Signal,Combined_Sell_Signal,RSI,RSI_Signal
2023-07-03,15208.6904296875,15232.9599609375,15153.599609375,15190.5400390625,2902300000,14859.488623046875,14799.161485909808,14046.26447265625,14199.883656162157,12378.655703125,13084.95556429108,True,False,14958.387252090182,14669.711774039204,288.6754780509782,315.4635000904226,False,True,False,False,61.682879147301655,False
2023-07-05,15203.7802734375,15275.1796875,15162.66015625,15165.3603515625,5339340000,14891.85263671875,14837.696608531493,14090.3246875,14239.252150957269,12395.037153320312,13106.038397217912,True,False,14996.140024605154,14709.272403624262,286.86762098089275,309.7443242685166,False,True,False,False,58.88540386636991,False
2023-07-06,15089.4501953125,15106.4501953125,14969.1396484375,15054.099609375,6113080000,14918.420654296875,14861.673140605873,14132.71849609375,14272.593250735905,12411.177504882813,13125.773837994971,True,False,15010.495435483208,14737.433721527093,273.06171395611454,302.4078022060362,False,True,False,False,52.44319716148174,False
2023-07-07,15036.849609375,15210.6298828125,15032.5595703125,15070.5,5098120000,14955.0986328125,14878.35661382198,14178.95328125,14302.564088329596,12426.595405273438,13144.789517312187,True,False,15014.549923774253,14759.612676182493,254.93724759176075,292.91369128318115,False,True,False,False,45.31709988677202,False
2023-07-10,15045.6396484375,15066.4404296875,14924.6396484375,15031.9501953125,5275390000,14983.15361328125,14894.28833140441,14223.73646484375,14331.704306373043,12442.565903320312,13163.703448965176,True,False,15019.332958337829,14780.799859312494,238.5330990253351,282.03757283161195,False,True,False,False,48.71902292942094,False
2023-07-11,15119.0595703125,15135.2900390625,14974.16015625,15068.1298828125,4840950000,15012.68857421875,14915.695116062323,14262.91705078125,14362.580983390277,12459.972250976563,13183.15972877958,True,False,15034.67551402624,14805.856134201384,228.8193798248558,271.3939342302607,False,True,False,False,51.57382355251787,False
2023-07-12,15307.23046875,15364.08984375,15209.7099609375,15279.349609375,5230620000,15038.835107421875,14952.984197270674,14304.14185546875,14399.62606124752,12479.000151367187,13204.294761018093,True,False,15076.607045522202,14842.994973797578,233.6120717246231,263.8375617291332,False,True,False,False,64.28503908334164,False
2023-07-13,15571.98046875,15602.740234375,15420.7099609375,15432.48046875,5183560000,15072.391650390626,15011.936223125847,14350.9520703125,14445.600743894676,12500.303852539062,13227.85382278657,True,False,15152.818341403401,14896.99389934961,255.82444205379034,262.23493779406465,False,True,False,False,66.25538577364526,False
2023-07-14,15565.599609375,15720.0595703125,15531.0,15610.0,5366890000,15100.387109375,15064.66606943529,14399.990859375,14489.52226803116,12521.861298828126,13251.114974891927,True,False,15216.32315186057,14946.52024824038,269.8029036201897,263.74853095928967,True,False,True,False,72.7018241756218,True
2023-07-17,15713.2802734375,15745.669921875,15576.509765625,15608.2802734375,4593160000,15126.777099609375,15126.438850768833,14453.652265625,14537.512778047094,12544.068950195313,13275.614132091385,True,False,15292.778093641637,15003.31728714387,289.4608064977674,268.89098606698525,True,False,True,False,85.81470678423207,True
2023-07-18,15841.349609375,15895.6796875,15607.7099609375,15671.7197265625,4824070000,15164.648583984375,15194.525589683704,14510.8296484375,14588.6436341776,12565.806547851562,13301.143838333013,True,False,15377.173711446769,15065.393755457286,311.7799559894829,277.46878005148477,True,False,True,False,84.41025256126393,True
2023-07-19,15826.349609375,15932.0498046875,15781.9599609375,15888.16015625,5112420000,15202.458544921876,15254.69930584478,14562.17404296875,14637.18112340103,12589.11439453125,13326.270263915521,True,False,15446.27769574342,15121.760855747487,324.51683999593297,286.8783920403744,True,False,True,False,83.21017129283261,True
2023-07-20,15466.08984375,15771.83984375,15429.8701171875,15717.669921875,5128020000,15232.39052734375,15274.83173802623,14605.663046875,14669.68734772844,12611.588745117188,13347.562001028302,True,False,15449.325718513663,15147.266706710636,302.0590118030268,289.9145159929049,True,False,False,False,66.10859195465878,False
2023-07-21,15425.669921875,15600.5400390625,15410.5703125,15554.9501953125,5254180000,15251.5580078125,15289.19727934516,14650.15423828125,14699.33372318517,12632.568442382813,13368.239691782996,True,False,15445.686365184638,15167.88916709318,277.7971980914572,287.4910524126154,False,True,False,False,58.591869597633256,False
